Indicator Name|1961|1962|1963|1964|1965|1966|1967|1968|1969|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2010-2012|2011|2011-2013|2012|2012-2014|2013|2014|2014-2016|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026|2027|2028|2029|2030|2031|2032|2033|2034|2035|2036|2037|2038|2039|2040|2041|2042|2043|2044|2045|2046|2047|2048|2049|2050|2051|2052|2053|2054|2055|2056|2057|2058|2059|2060|2061|2062|2063|2064|2065|2066|2067|2068|2069|2070|2071|2072|2073|2074|2075|2076|2077|2078|2079|2080|2081|2082|2083|2084|2085|2086|2087|2088|2089|2090|2091|2092|2093|2094|2095|2096|2097|2098|2099|2100
Access to improved sanitation facilities (%), Value||||||||||||||||||||||||||||||||||||||||||||||||||||6.6||6.6||6.7|6.7||6.7|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Access to improved water sources (%), Value||||||||||||||||||||||||||||||||||||||||||||||||||||58.6||58.7||58.7|58.7||58.7|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agricult.Products,Total, Export Value||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0||3.0|3356.0||7830.0|10575.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agricult.Products,Total, Import Value||||||||||||||||||||||||||||||||||||||||||||||||||||||64683.0||46179.0|275753.0||216081.0|71244.0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agricultural Soils, Emissions (CO2eq)||||||||||||||||||||||||||||||||||||||||||||||||||||||9870.4028||9913.5997|10009.6611||10025.9211|10054.2054||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agricultural Soils, Emissions (CO2eq) from N2O||||||||||||||||||||||||||||||||||||||||||||||||||||||9870.4028||9913.5997|10009.6611||10025.9211|10054.2054||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agricultural area certified organic, Area|||||||||||||||||||||||||||||||||||||||||||||||||||||||||121.0||121.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agricultural area in conversion to organic, Area|||||||||||||||||||||||||||||||||||||||||||||||||||||||||9.0||9.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agricultural area organic, total, Area|||||||||||||||||||||||||||||||||||||||||||||||||||||||||130.0||130.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Agricultural area, Area||||||||||||||||||||||||||||||||||||||||||||||||||||28533.2||28533.2||28533.2|28533.2||28533.2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
